id_athlete,last_name,first_name,id_team,team_name
18041700.0,GORDO,Salvador,98160,Angola
18041702.0,KIM,Min-Seop,92558,Republic of Korea
18041704.0,AIMABLE,Steven,92170,Senegal
18041706.0,DEFREITAS,Mya,98155,St. Vincent & the Grenadines
18041707.0,VAN DER WESTHUIZEN,Paige,91988,Zimbabwe
18041756.0,EMMANOUILIDOU,Polyniki,97537,Greece
18041778.0,FELFNER,Artur,91581,Ukraine
18041840.0,IVANCHENKO,Alena,233517,Individual Neutral Athlete
18041918.0,MIHKELS,Madis,95734,Estonia
18042020.0,BRENDEL,Pascal,92884,GER
18042028.0,BORDACHYOVA,Ekaterina,96249,Tajikistan
18042043.0,ROSAMILIA,Valentina,95229,Switzerland
18042085.0,AHMED,Junayna,92167,Bangladesh
18042086.0,TENZIN,Sangay,92173,Bhutan
18042087.0,HEM,Puch,95311,Cambodia
18042148.0,LANGENEGGER,Florian,94608,Switzerland
18042165.0,MARAANA,Adam,92897,Israel
18042168.0,SAVICKAS,Aleksas,90494,Lithuania
18042185.0,POPOVICI,David,91977,Romania
18042188.0,RIBEIRO,Diogo,91070,Portugal
18042221.0,BERNAT,Laura,94476,Poland
