id_epreuve,epreuve_name,genre,epreuve_type,is_individual,is_olympic,is_summer,is_handicap,result_direction,id_discipline,id_sport
482,"Poids moyen - Hommes (72,5kg)",Hommes,Individuel,True,False,True,False,0,360,60
483,66kg - Hommes,Hommes,Individuel,True,True,True,False,0,68,61
484,81kg - Hommes,Hommes,Individuel,True,True,True,False,0,68,61
488,Deux de couple - Poids léger Hommes,Hommes,Equipe,False,True,True,False,0,8,15
500,105kg - Hommes,Hommes,Individuel,True,False,True,False,1,45,29
503,Individuel Épée - Hommes,Hommes,Individuel,True,True,True,False,1,33,33
504,Individuel Fleuret - Hommes,Hommes,Individuel,True,True,True,False,0,34,33
505,Par équipes Fleuret - Hommes,Hommes,Equipe,False,True,True,False,0,34,33
509,Skeet - Hommes,Hommes,Individuel,True,True,True,False,1,275,66
516,80kg - Hommes - JO,Hommes,Individuel,True,True,True,False,0,129,32
531,Sprint 10km - Hommes,Hommes,Individuel,True,True,False,False,0,109,41
532,Poursuite 12.5km - Hommes,Hommes,Individuel,True,True,False,False,0,109,41
534,Relais 2 x 6 + 2 x 7.5km - Mixte,Mixte,Equipe,False,False,False,False,0,109,41
536,Relais 4 x 10km - Hommes,Hommes,Equipe,False,True,False,False,0,108,67
542,Beach-Volley Equipe H,Hommes,Double,False,True,True,False,1,151,4
543,Cross Country - Hommes,Hommes,Individuel,True,True,True,False,0,256,12
552,C1 1000m - Hommes,Hommes,Individuel,True,True,True,False,0,398,54
554,C2 1000m - Hommes,Hommes,Double,False,False,True,False,0,398,54
567,Trampoline Individuel - Hommes,Hommes,Individuel,True,True,True,False,1,42,39
574,Concours général - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
575,Barres parallèles - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
591,K1 1000m - Hommes,Hommes,Individuel,True,True,True,False,0,397,54
593,K2 1000m - Hommes,Hommes,Double,False,False,True,False,0,397,54
595,C1 - Hommes,Hommes,Individuel,True,True,True,False,0,398,56
599,Sol - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
600,Barre fixe - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
601,Cheval d'arçons - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
602,Saut - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
618,Anneaux - Hommes,Hommes,Individuel,True,True,True,False,1,311,26
620,GAM Par équipes - Hommes,Hommes,Equipe,False,True,True,False,1,311,26
631,BMX Race - Hommes,Hommes,Individuel,True,True,True,False,0,25,17
632,Sprint Style classique - Hommes,Hommes,Individuel,True,True,False,False,0,108,67
634,Par équipes Sprint Style libre - Hommes,Hommes,Equipe,False,True,False,False,0,108,67
636,Par équipes Sprint Style classique - Hommes,Hommes,Equipe,False,False,False,False,0,108,67
637,Ski Cross - Hommes,Hommes,Individuel,True,True,False,False,0,110,6
664,Halfpipe - Hommes,Hommes,Individuel,True,True,False,False,1,110,6
685,50m Carabine 3 positions - Hommes,Hommes,Individuel,True,True,True,False,1,136,66
692,65kg LL - Hommes,Hommes,Individuel,True,True,True,False,0,262,8
693,57kg LL- Hommes,Hommes,Individuel,True,True,True,False,0,262,8
694,86kg LL- Hommes,Hommes,Individuel,True,True,True,False,0,262,8
695,97kg LL - Hommes,Hommes,Individuel,True,True,True,False,0,262,8
696,125kg LL- Hommes,Hommes,Individuel,True,True,True,False,0,262,8
702,130kg GR - Hommes,Hommes,Individuel,True,True,True,False,0,262,46
703,Rugby à 7 Equipe H,Hommes,Equipe,False,True,True,False,0,245,72
782,Mass Start 16 Laps - Hommes,Hommes,Individuel,True,True,False,False,1,401,40
797,Heptathlon - Femmes,Femmes,Individuel,True,True,True,False,1,251,28
